R1_BAT,120.70,48.40,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,155.03,4.76,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,89.91,62.09,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,128.81,38.80,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,67.33,11.81,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,156.13,4.77,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,154.58,44.33,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.60,43.17,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,123.10,45.41,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,89.11,47.94,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,75.52,23.06,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,74.26,23.06,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,52.89,28.76,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,50.94,28.73,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,44.74,28.60,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,33.94,51.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,7.64,99.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.97,107.35,180.00,BUTTON_CUSYOMV1NEW,MYBUTTON
R_BOOT,20.78,107.28,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,93.24,50.80,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.84,107.28,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.46,14.18,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.84,107.26,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.74,9.70,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.96,9.94,0.00,,SJ
TP1,106.56,21.39,0.00,TP,TP20R
TP10,111.83,17.36,0.00,TP,TP20R
TP11,111.64,21.39,0.00,TP,TP20R
TP12,106.83,17.41,0.00,TP,TP20R
TP13,12.18,76.31,0.00,TP,TP20R
TP14,86.33,69.16,0.00,TP,TP20R
TP15,120.73,55.16,0.00,TP,TP20R
TP16,121.03,58.56,0.00,TP,TP20R
TP17,101.33,17.41,0.00,TP,TP20R
TP2,101.48,21.39,0.00,TP,TP20R
TP3,7.65,76.29,0.00,TP,TP20R
TP4,3.17,76.24,0.00,TP,TP20R
TP5,152.29,62.94,0.00,TP,TP20R
TP6,152.36,59.09,0.00,TP,TP20R
TP7,30.73,71.29,0.00,TP,TP20R
TP8,25.65,71.29,0.00,TP,TP20R
TP9,5.67,42.24,0.00,TP,TP20R
U1,124.51,49.07,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,15.85,56.60,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U4,135.71,51.02,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,86.20,55.20,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,40.24,58.41,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
